district,period,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Tikamgarh,March 2025,49.64,229900,463155
Ujjain,March 2025,111.52,2346660,2104261
Umaria,March 2025,33.89,125615,370644
Vidisha,March 2025,119.9,951281,793391
Agar Malwa,June 2025,215.62,407900,189955
Alirajpur,June 2025,60.7,119578,192305
Anuppur,June 2025,28.95,169839,574104
Ashoknagar,June 2025,125.89,397313,318447
Balaghat,June 2025,66,528903,776265
Barwani,June 2025,114.78,582451,507430
Betul,June 2025,65.57,710688,1063352
Bhind,June 2025,59.33,369508,626937
Bhopal,June 2025,76.79,11485620,14881453
Burhanpur,June 2025,85.76,377772,443005
Chhatarpur,June 2025,51.4,535412,1041593
Chhindwara,June 2025,81.35,980354,1205167
Damoh,June 2025,68.34,381159,557742
Datia,June 2025,75.18,292045,389223
Dewas,June 2025,130.67,1316885,1002861
Dhar,June 2025,115.19,1521666,1293602
Dindori,June 2025,48.24,107327,212004
East Nimar,June 2025,110.5,777440,703580
Guna,June 2025,116.31,686841,590510
Gwalior,June 2025,67.03,2454786,3715841
Harda,June 2025,138.24,511189,371221
Indore,June 2025,101.16,11501509,11487802
Jabalpur,June 2025,69.45,3280023,4724558
Jhabua,June 2025,119.2,378898,310663
Katni,June 2025,69.08,604367,873512
Khargone,June 2025,126.8,1315583,1007183
Maihar,June 2025,53.3,200633,380152
Mandla,June 2025,47.26,262585,538655
Mandsaur,June 2025,127.84,945829,725870
Mauganj,June 2025,23.4,56491,238692
Morena,June 2025,86.24,622943,703327
Narmadapuram,June 2025,98.99,1178232,1217223
Narsinghpur,June 2025,96.53,711632,704868
Neemuch,June 2025,102.92,616121,574620
Niwari,June 2025,32.42,63899,195879
Pandhurna,June 2025,73.08,191533,254923
Panna,June 2025,42.24,191076,452689
Raisen,June 2025,149.64,955238,655367
Rajgarh,June 2025,168.21,918987,546343
Ratlam,June 2025,131.73,1295884,960113
Rewa,June 2025,48.04,799211,1628627
Sagar,June 2025,60.57,1068402,1744669
Satna,June 2025,50.08,668482,1328974
Sehore,June 2025,117.04,997551,852346
Seoni,June 2025,80.57,535910,663890
Shahdol,June 2025,45.04,315485,693265
Shajapur,June 2025,182.22,769442,435557
Sheopur,June 2025,98.82,203076,198576
Shivpuri,June 2025,72.84,499755,675243
Sidhi,June 2025,40.32,226187,558677
Singrauli,June 2025,15.16,312751,2063575
Tikamgarh,June 2025,49.64,230088,457481
Ujjain,June 2025,111.52,2362900,2129366
Umaria,June 2025,33.89,124939,366504
Vidisha,June 2025,117.06,961091,821029
Agar Malwa,September 2025,234.4,419812.35,179097.27
Alirajpur,September 2025,66.44,129361.04,194706.67
Anuppur,September 2025,31.27,174680.52,558685.74
Ashoknagar,September 2025,126.04,407108.16,322997.59
Balaghat,September 2025,69.49,552775.3,795500.93
Barwani,September 2025,112.84,583272.75,516896.29
Betul,September 2025,66.44,721450.3,1085906.42
Bhind,September 2025,58.78,383990.04,653226.99
Bhopal,September 2025,79.23,12054865.35,15214449.24
Burhanpur,September 2025,84.3,391605.67,464518.31
Chhatarpur,September 2025,50.8,559869.68,1102108.05
Chhindwara,September 2025,81.84,1009034.49,1232998.02
Damoh,September 2025,67.61,390057.93,576902.63
Datia,September 2025,76.49,304201.15,397702.01
Dewas,September 2025,131.77,1356308.67,1029262.49
Dhar,September 2025,120.06,1578615.74,1314811.72
Dindori,September 2025,49.0,111745.58,228049.24
East Nimar,September 2025,113.05,806279.54,713212.14
Guna,September 2025,115.81,704729.42,608541.15
Gwalior,September 2025,66.18,2520999.44,3809347.01
Harda,September 2025,125.85,,
Indore,September 2025,100.78,11873278.34,11781621.04
Jabalpur,September 2025,68.54,3394330.28,4952022.88
Jhabua,September 2025,121.0,384841.77,318054.06
Katni,September 2025,67.77,610447.77,900746.89
Khargone,September 2025,134.53,1392325.87,1034980.69
Maihar,September 2025,52.67,200785.51,381186.66
Mandla,September 2025,49.36,273075.29,553200.84
Mandsaur,September 2025,130.36,977396.65,749749.34
Mauganj,September 2025,25.0,62361.61,249457.8
Morena,September 2025,84.85,628519.54,740734.38
Narmadapuram,September 2025,91.29,1181093.21,1293820.04
Narsinghpur,September 2025,99.11,731836.91,738390.73
Neemuch,September 2025,104.98,623602.46,594013.4
Niwari,September 2025,33.54,68916.53,205471.05
Pandhurna,September 2025,74.21,195904.13,263998.02
Panna,September 2025,42.19,198307.17,469999.0
Raisen,September 2025,139.84,960268.85,686710.14
Rajgarh,September 2025,171.61,948770.86,552854.23
Ratlam,September 2025,135.01,1333054.84,987378.69
Rewa,September 2025,49.09,820175.64,1670735.3
Sagar,September 2025,62.15,1111842.89,1788910.29
Satna,September 2025,49.62,692002.36,1394732.64
Sehore,September 2025,118.28,1035797.77,875713.74
Seoni,September 2025,83.39,554310.17,664699.8
Shahdol,September 2025,44.05,328462.62,745695.06
Shajapur,September 2025,181.65,797825.99,439215.57
Sheopur,September 2025,107.29,211804.5,197410.38
Shivpuri,September 2025,74.37,520023.93,699225.31
Sidhi,September 2025,40.39,226139.08,559847.77
Singrauli,September 2025,14.62,325329.94,2224516.05
Tikamgarh,September 2025,49.63,237063.56,477645.93
Ujjain,September 2025,113.19,2459312.8,2172737.16
Umaria,September 2025,34.44,130131.18,377874.29
Vidisha,September 2025,121.86,1007133.84,826491.5
Agar Malwa,December 2025,235.09,431567.27,183577.65
Alirajpur,December 2025,67.88,133890.63,197257.15
Anuppur,December 2025,32.48,182386.84,561611.09
Ashoknagar,December 2025,128.11,421955.72,329367.26
Balaghat,December 2025,70.91,587401.66,828416.48
Barwani,December 2025,118.86,632594.19,532220.27
Betul,December 2025,69.11,762675.18,1103555.75
Bhind,December 2025,60.78,404778.32,665927.49
Bhopal,December 2025,77.64,12075479.4,15553136.8
Burhanpur,December 2025,88.02,403222.2,458087.58
Chhatarpur,December 2025,50.97,580794.24,1139421.07
Chhindwara,December 2025,84.79,1054858.51,1244072.95
Damoh,December 2025,67.4,406241.63,602730.09
Datia,December 2025,77.11,314685.15,408113.29
Dewas,December 2025,134.9,1419400.76,1052186.12
Dhar,December 2025,122.31,1645985.24,1345723.76
Dindori,December 2025,50.73,118214.02,233006.66
East Nimar,December 2025,114.84,841435.22,732725.93
Guna,December 2025,120.56,734478.13,609221.48
Gwalior,December 2025,67.65,2639168.22,3901014.49
Harda,December 2025,133.54,,
Indore,December 2025,103.57,12333253.94,11907647.13
Jabalpur,December 2025,69.63,3533655.81,5075030.15
Jhabua,December 2025,121.59,395407.77,325201.04
Katni,December 2025,67.82,634242.83,935147.08
Khargone,December 2025,133.46,1418230.99,1062689.74
Maihar,December 2025,53.37,212082.46,397381.76
Mandla,December 2025,51.18,289315.8,565255.03
Mandsaur,December 2025,130.43,1007588.75,772508.53
Mauganj,December 2025,26.06,66809.64,256362.02
Morena,December 2025,84.96,639540.07,752733.64
Narmadapuram,December 2025,97.07,1253133.94,1290957.28
Narsinghpur,December 2025,102.69,766520.86,746432.19
Neemuch,December 2025,106.36,651863.97,612886.07
Niwari,December 2025,34.22,72827.74,212822.5
Pandhurna,December 2025,78.63,206074.98,262073.64
Panna,December 2025,43.06,206885.06,480421.31
Raisen,December 2025,144.83,1006453.15,694942.56
Rajgarh,December 2025,170.38,981741.95,576219.1
Ratlam,December 2025,137.8,1392147.3,1010234.91
Rewa,December 2025,50.79,876738.65,1726355.14
Sagar,December 2025,64.59,1169494.99,1810641.27
Satna,December 2025,50.83,726949.0,1430145.4
Sehore,December 2025,125.11,1083621.45,866163.6
Seoni,December 2025,85.53,584892.54,683804.97
Shahdol,December 2025,45.48,345847.64,760462.22
Shajapur,December 2025,181.46,820515.65,452178.42
Sheopur,December 2025,107.19,219359.05,204642.46
Shivpuri,December 2025,75.59,542854.85,718131.82
Sidhi,December 2025,40.75,234969.38,576600.1
Singrauli,December 2025,13.39,337697.05,2522217.47
Tikamgarh,December 2025,50.15,243874.96,486265.3
Ujjain,December 2025,113.51,2542279.48,2239636.67
Umaria,December 2025,35.29,137018.41,388306.23
Vidisha,December 2025,122.84,1042375.91,848529.4
